1496236110927	8.28	32.46	7.8

1496236111042	8.04	29.46	2.34

1496236111133	8.22	31.02	2.82

1496236111224	7.74	32.04	2.16

1496236111330	6.72	32.64	0.24

1496236111426	7.14	34.2	-0.6

1496236111525	7.5	35.7	-2.52

1496236111627	5.64	36.42	-1.32

1496236111724	4.8	36.42	-2.1

1496236111825	3.48	37.02	-1.44

1496236111926	2.76	37.26	-3.96

1496236112031	1.38	37.62	-1.74

1496236112124	1.68	37.26	-0.06

1496236112235	1.2	35.4	-0.18

1496236112324	0.54	34.2	-0.12

1496236112425	1.14	37.26	-1.26

1496236112527	2.58	34.92	0.0

1496236112625	4.68	35.4	0.06

1496236112741	5.88	34.56	2.58

1496236112825	8.76	34.32	0.96

1496236112924	9.18	35.22	-1.08

1496236113025	10.5	35.94	0.96

1496236113128	12.18	35.1	-0.3

1496236113225	13.68	31.74	-0.18

1496236113335	14.7	35.7	-1.68

1496236113435	13.8	32.58	-1.26

1496236113535	13.26	35.64	-2.88

1496236113653	12.06	35.76	-2.88

1496236113735	11.76	34.92	-0.06

1496236113851	8.88	34.92	-1.56

1496236113935	7.98	35.58	0.36

1496236114027	7.14	33.9	0.48

1496236114136	5.34	33.42	-1.86

1496236114236	4.38	37.92	0.12

1496236114336	4.38	33.9	1.32

1496236114435	4.56	33.36	0.9

1496236114535	4.5	36.0	0.24

1496236114635	6.54	35.1	2.7

1496236114739	5.76	34.38	2.4

1496236114847	3.96	35.58	4.14

1496236114936	3.24	32.52	2.88

1496236115035	1.74	33.6	-0.78

1496236115135	1.68	34.32	-1.32

1496236115235	0.36	36.48	1.98

1496236115339	0.96	34.5	-0.54

1496236115436	-0.06	37.68	2.4

1496236115541	0.12	34.98	3.24

1496236115635	0.0	36.78	2.16

1496236115735	0.42	36.54	5.94

