1496849872030	3.6	48.66	16.68

1496849872100	4.26	48.96	16.68

1496849872231	4.14	48.06	17.76

1496849872290	4.62	47.88	18.18

1496849872395	4.74	48.0	19.68

1496849872497	4.44	48.3	21.18

1496849872583	5.22	49.14	22.44

1496849872691	5.4	49.14	20.04

1496849872798	6.84	49.62	19.38

1496849872885	7.86	49.92	18.48

1496849872986	9.36	50.64	17.58

1496849873075	10.44	51.0	17.16

1496849873186	11.76	51.42	16.92

1496849873301	12.72	51.24	16.98

1496849873384	13.56	51.36	17.1

1496849873483	14.04	50.88	18.54

1496849873592	14.04	50.4	21.12

1496849873704	14.16	49.68	24.3

1496849873782	13.98	49.02	27.24

1496849873886	13.8	48.48	29.52

1496849873995	13.8	47.82	31.14

1496849874097	14.46	47.7	32.58

1496849874192	14.76	47.82	33.24

1496849874287	15.72	48.24	32.16

1496849874385	16.74	48.66	30.54

1496849874478	18.06	49.44	28.44

1496849874583	19.2	49.68	26.58

1496849874685	20.04	50.16	25.92

1496849874786	20.46	50.1	25.74

1496849874884	20.82	49.62	25.74

1496849874983	21.54	48.42	26.58

1496849875087	21.36	47.16	28.44

1496849875192	20.76	45.66	30.78

1496849875284	19.98	44.16	33.0

1496849875393	19.38	42.96	34.92

1496849875492	19.2	42.12	35.22

1496849875599	19.74	41.76	34.2

1496849875692	19.98	41.58	32.28

1496849875792	20.04	41.94	30.0

1496849875892	20.04	42.36	27.9

1496849875991	20.1	42.84	26.28

1496849876094	19.86	42.96	25.56

1496849876192	19.44	43.02	24.84

1496849876292	18.84	42.3	24.66

1496849876413	18.06	41.34	25.5

1496849876496	17.28	40.02	27.24

1496849876593	16.26	38.46	29.22

1496849876692	15.3	36.9	30.96

1496849876803	14.88	35.64	31.98

1496849876892	15.0	34.8	31.56

